;TRADEDATE;SECID;OPEN;LOW;HIGH;CLOSE;VOLRUR;is_actual;last_CLOSE;short;long;diff;Stance;OBV;STHST_k;STHST_d;BBU;BBM;BBL;diff_st;Stance_st;Recommendation
22;2020-07-07;EURUSD000TOM;1.12932;1.126;1.1306200000000002;1.12744;1541224286.59;1 day lag;;1.1275496562099456;1.1260842858882214;0.0014653703217242242;0;8116998881.490002;67.03662597114314;51.86433596076885;1.1359625896636725;1.1267615;1.1175604103363275;15.17229001037429;1;Покупать (Long)
23;2020-07-08;EURUSD000TOM;1.12748;1.1268;1.13506;1.133;3960447234.69;1 day lag;;1.1302748281049728;1.127467428710577;0.002807399394395782;0;12077446116.180002;73.26460202334545;65.54099131076406;1.1365301871614086;1.1269695;1.1174088128385913;7.72361071258139;1;Покупать (Long)
24;2020-07-09;EURUSD000TOM;1.1359;1.128;1.136;1.12839;2959703958.42;1 day lag;;1.1293324140524863;1.1276519429684617;0.0016804710840245818;0;9117742157.760002;74.27047269336163;71.52390022928341;1.1364504763660688;1.1269249999999997;1.1173995236339307;2.7465724640782128;1;Покупать (Long)
25;2020-07-10;EURUSD000TOM;1.12642;1.1253;1.13246;1.13002;2961927820.63;1 day lag;;1.1296762070262432;1.1281255543747695;0.001550652651473694;0;12079669978.390003;64.2368421052636;70.5906389406569;1.135871821516887;1.1267414999999996;1.1176111784831122;-6.353796835393297;-1;Продавать (Short)
26;2020-07-13;EURUSD000TOM;1.1331;1.1302;1.13736;1.13436;3934880515.71;1 day lag;;1.1320181035131216;1.1293724434998156;0.002645660013306017;0;16014550494.100002;76.09322325421451;71.53351268427993;1.135114374353535;1.1265944999999997;1.1180746256464644;4.55971056993458;1;Покупать (Long)
27;2020-07-14;EURUSD000TOM;1.13422;1.13258;1.1408;1.13941;4544878225.12;1 day lag;;1.135714051756561;1.1313799547998524;0.0043340969567085;1;20559428719.22;88.63613153594801;76.32206563180871;1.1372778088043756;1.1271174999999998;1.116957191195624;12.314065904139298;1;Покупать (Long)
28;2020-07-15;EURUSD000TOM;1.1407399999999999;1.1399299999999999;1.14514;1.1412;3071947269.34;1 day lag;;1.1384570258782805;1.1333439638398821;0.005113062038398342;1;23631375988.56;89.258173456164;84.66250941544219;1.139338187043449;1.1275954999999998;1.1158528129565506;4.595664040721815;1;Покупать (Long)
29;2020-07-16;EURUSD000TOM;1.13976;1.1371;1.14402;1.13836;3241680607.56;1 day lag;;1.1384085129391401;1.1343471710719057;0.0040613418672343915;1;20389695381.0;79.38348738763484;85.7592641265823;1.1408215635302528;1.1282054999999998;1.1155894364697467;-6.375776738947451;-1;Продавать (Short)
30;2020-07-17;EURUSD000TOM;1.1384;1.1384;1.1443;1.1438;2936870593.62;1 day lag;;1.14110425646957;1.1362377368575247;0.004866519612045206;1;23326565974.62;84.34849653045472;84.33005245808452;1.1433493601702611;1.1291964999999997;1.1150436398297383;0.01844407237020107;0;Ожидать (Hold)
31;2020-07-20;EURUSD000TOM;1.1451;1.14021;1.1466;1.14454;3337587206.15;1 day lag;;1.1428221282347848;1.1378981894860198;0.0049239387487649555;1;26664153180.77;93.65799233492174;85.79665875100379;1.145452718169385;1.1303954999999997;1.1153382818306143;7.861333583917954;1;Покупать (Long)
